mode,game,run,seed,rounds,total1,total2,total_score,elapsed_sec
base,bos,1,375,200,1372.0,1960.0,3332.0,250.36305451393127
base,pd,1,376,200,1000.0,1000.0,2000.0,249.23862886428833
base,deadlock,1,377,200,0.0,0.0,0.0,249.269690990448
base,samaritan,1,378,200,-1.0,-3.0,-4.0,251.9250886440277
base,lemons,1,379,200,40.0,-10.0,30.0,448.00823974609375
base,bos,2,380,200,1372.0,1960.0,3332.0,248.66184902191162
base,pd,2,381,200,1000.0,1000.0,2000.0,248.65196585655212
base,deadlock,2,382,200,0.0,0.0,0.0,248.2637972831726
base,samaritan,2,383,200,-1.0,-3.0,-4.0,251.81163930892944
base,lemons,2,384,200,40.0,-10.0,30.0,445.60680174827576
base,bos,3,385,200,1372.0,1960.0,3332.0,248.17043375968933
base,pd,3,386,200,1000.0,1000.0,2000.0,248.59944033622742
base,deadlock,3,387,200,0.0,0.0,0.0,248.46945452690125
base,samaritan,3,388,200,-1.0,-3.0,-4.0,251.57456421852112
base,lemons,3,389,200,40.0,-10.0,30.0,454.4856081008911
base,bos,4,390,200,1372.0,1960.0,3332.0,252.83080792427063
base,pd,4,391,200,1000.0,1000.0,2000.0,253.86536192893982
base,deadlock,4,392,200,0.0,0.0,0.0,248.7324719429016
base,samaritan,4,393,200,-2.0,-6.0,-8.0,252.34781002998352
base,lemons,4,394,200,20.0,-5.0,15.0,445.7885630130768
base,bos,5,395,200,1379.0,1970.0,3349.0,248.129141330719
base,pd,5,396,200,1000.0,1000.0,2000.0,248.23485207557678
base,deadlock,5,397,200,0.0,0.0,0.0,247.44045639038086
base,samaritan,5,398,200,-2.0,-6.0,-8.0,251.43589568138123
base,lemons,5,399,200,20.0,-5.0,15.0,444.94141125679016
base,bos,6,400,200,1379.0,1970.0,3349.0,247.43921160697937
base,pd,6,401,200,1000.0,1000.0,2000.0,247.69783735275269
base,deadlock,6,402,200,0.0,0.0,0.0,248.2792465686798
base,samaritan,6,403,200,-2.0,-6.0,-8.0,252.50120091438293
base,lemons,6,404,200,20.0,-5.0,15.0,446.00275778770447
base,bos,7,405,200,1379.0,1970.0,3349.0,248.19433856010437
base,pd,7,406,200,1000.0,1000.0,2000.0,248.40539836883545
base,deadlock,7,407,200,0.0,0.0,0.0,248.08899903297424
base,samaritan,7,408,200,-2.0,-6.0,-8.0,252.08317685127258
base,lemons,7,409,200,20.0,-5.0,15.0,446.8640134334564
base,bos,8,410,200,1379.0,1970.0,3349.0,247.85918164253235
base,pd,8,411,200,1000.0,1000.0,2000.0,248.78539276123047
base,deadlock,8,412,200,0.0,0.0,0.0,248.07286262512207
base,samaritan,8,413,200,-2.0,-6.0,-8.0,251.1957335472107
base,lemons,8,414,200,20.0,-5.0,15.0,445.2971270084381
base,bos,9,415,200,1379.0,1970.0,3349.0,247.86051630973816
base,pd,9,416,200,1000.0,1000.0,2000.0,248.08710289001465
base,deadlock,9,417,200,0.0,0.0,0.0,247.81039357185364
base,samaritan,9,418,200,-2.0,-6.0,-8.0,252.01907396316528
base,lemons,9,419,200,20.0,-5.0,15.0,445.46388721466064
base,bos,10,420,200,1379.0,1970.0,3349.0,247.60142397880554
base,pd,10,421,200,1000.0,1000.0,2000.0,247.93021607398987
base,deadlock,10,422,200,0.0,0.0,0.0,248.16193556785583
base,samaritan,10,423,200,-2.0,-6.0,-8.0,251.62766528129578
base,lemons,10,424,200,20.0,-5.0,15.0,445.38392663002014
base,bos,11,425,200,1379.0,1970.0,3349.0,247.8878195285797
base,pd,11,426,200,1000.0,1000.0,2000.0,248.04190874099731
base,deadlock,11,427,200,0.0,0.0,0.0,247.53543853759766
base,samaritan,11,428,200,-2.0,-6.0,-8.0,250.5208101272583
base,lemons,11,429,200,20.0,-5.0,15.0,444.7076778411865
base,bos,12,430,200,1379.0,1970.0,3349.0,247.656747341156
base,pd,12,431,200,1000.0,1000.0,2000.0,248.78075289726257
base,deadlock,12,432,200,0.0,0.0,0.0,248.51814222335815
