mode,game,run,seed,total_score,total1,total2
psbr,bos,1,200000,3400.0,2000.0,1400.0
psbr,bos,2,200001,3400.0,2000.0,1400.0
psbr,bos,3,200002,3400.0,2000.0,1400.0
psbr,bos,4,200003,3400.0,2000.0,1400.0
psbr,bos,5,200004,3400.0,2000.0,1400.0
psbr,bos,6,200005,3400.0,2000.0,1400.0
psbr,bos,7,200006,1717.0,707.0,1010.0
psbr,bos,8,200007,2703.0,1113.0,1590.0
psbr,bos,9,200008,3400.0,2000.0,1400.0
psbr,bos,10,200009,2312.0,961.0,1351.0
psbr,bos,11,200010,3400.0,1400.0,2000.0
psbr,bos,12,200011,3400.0,2000.0,1400.0
psbr,bos,13,200012,1292.0,541.0,751.0
psbr,bos,14,200013,646.0,305.0,341.0
psbr,bos,15,200014,1411.0,593.0,818.0
psbr,bos,16,200015,629.0,310.0,319.0
psbr,bos,17,200016,748.0,398.0,350.0
psbr,bos,18,200017,3400.0,2000.0,1400.0
psbr,bos,19,200018,3400.0,2000.0,1400.0
psbr,bos,20,200019,1989.0,819.0,1170.0
psbr,bos,21,200020,1122.0,480.0,642.0
psbr,bos,22,200021,680.0,301.0,379.0
psbr,bos,23,200022,3400.0,2000.0,1400.0
psbr,bos,24,200023,918.0,387.0,531.0
psbr,bos,25,200024,714.0,348.0,366.0
psbr,bos,26,200025,1071.0,474.0,597.0
psbr,bos,27,200026,850.0,362.0,488.0
psbr,bos,28,200027,2023.0,836.0,1187.0
psbr,bos,29,200028,3400.0,1400.0,2000.0
psbr,bos,30,200029,2040.0,840.0,1200.0
psbr,bos,31,200030,3400.0,1400.0,2000.0
psbr,bos,32,200031,3400.0,2000.0,1400.0
psbr,bos,33,200032,3400.0,1400.0,2000.0
psbr,bos,34,200033,3400.0,2000.0,1400.0
psbr,bos,35,200034,442.0,215.0,227.0
psbr,bos,36,200035,459.0,249.0,210.0
psbr,bos,37,200036,867.0,498.0,369.0
psbr,bos,38,200037,2006.0,835.0,1171.0
psbr,bos,39,200038,2057.0,847.0,1210.0
psbr,bos,40,200039,646.0,305.0,341.0
psbr,bos,41,200040,1479.0,615.0,864.0
psbr,bos,42,200041,1989.0,819.0,1170.0
psbr,bos,43,200042,3400.0,2000.0,1400.0
psbr,bos,44,200043,1071.0,447.0,624.0
psbr,bos,45,200044,3400.0,2000.0,1400.0
psbr,bos,46,200045,3400.0,2000.0,1400.0
psbr,bos,47,200046,3400.0,2000.0,1400.0
psbr,bos,48,200047,510.0,249.0,261.0
psbr,bos,49,200048,2057.0,847.0,1210.0
psbr,bos,50,200049,612.0,309.0,303.0
psbr,bos,51,200050,3400.0,2000.0,1400.0
psbr,bos,52,200051,782.0,349.0,433.0
psbr,bos,53,200052,595.0,299.0,296.0
psbr,bos,54,200053,3400.0,1400.0,2000.0
psbr,bos,55,200054,340.0,194.0,146.0
psbr,bos,56,200055,1394.0,586.0,808.0
psbr,bos,57,200056,527.0,277.0,250.0
psbr,bos,58,200057,1377.0,573.0,804.0
psbr,bos,59,200058,2108.0,868.0,1240.0
psbr,bos,60,200059,527.0,250.0,277.0
psbr,bos,61,200060,3400.0,2000.0,1400.0
psbr,bos,62,200061,2261.0,934.0,1327.0
psbr,bos,63,200062,2193.0,903.0,1290.0
psbr,bos,64,200063,3400.0,1400.0,2000.0
psbr,bos,65,200064,578.0,295.0,283.0
psbr,bos,66,200065,1462.0,605.0,857.0
psbr,bos,67,200066,544.0,275.0,269.0
psbr,bos,68,200067,510.0,234.0,276.0
psbr,bos,69,200068,3400.0,2000.0,1400.0
psbr,bos,70,200069,3400.0,2000.0,1400.0
psbr,bos,71,200070,1632.0,687.0,945.0
psbr,bos,72,200071,3400.0,2000.0,1400.0
psbr,bos,73,200072,3400.0,2000.0,1400.0
psbr,bos,74,200073,731.0,349.0,382.0
psbr,bos,75,200074,1802.0,751.0,1051.0
psbr,bos,76,200075,1955.0,805.0,1150.0
psbr,bos,77,200076,544.0,272.0,272.0
psbr,bos,78,200077,527.0,247.0,280.0
psbr,bos,79,200078,850.0,362.0,488.0
psbr,bos,80,200079,561.0,279.0,282.0
psbr,bos,81,200080,1717.0,713.0,1004.0
psbr,bos,82,200081,935.0,463.0,472.0
psbr,bos,83,200082,1547.0,640.0,907.0
psbr,bos,84,200083,3400.0,2000.0,1400.0
psbr,bos,85,200084,646.0,356.0,290.0
psbr,bos,86,200085,561.0,303.0,258.0
psbr,bos,87,200086,612.0,339.0,273.0
psbr,bos,88,200087,697.0,344.0,353.0
psbr,bos,89,200088,3400.0,2000.0,1400.0
psbr,bos,90,200089,442.0,224.0,218.0
psbr,bos,91,200090,3400.0,2000.0,1400.0
psbr,bos,92,200091,731.0,328.0,403.0
psbr,bos,93,200092,561.0,288.0,273.0
psbr,bos,94,200093,561.0,312.0,249.0
psbr,bos,95,200094,2193.0,903.0,1290.0
psbr,bos,96,200095,595.0,332.0,263.0
psbr,bos,97,200096,408.0,204.0,204.0
psbr,bos,98,200097,2397.0,987.0,1410.0
psbr,bos,99,200098,884.0,388.0,496.0
psbr,bos,100,200099,561.0,297.0,264.0
